what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223196774
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223354564
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474223359550
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474223361510
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1474223392955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223392960
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1474223395247
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223396378
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1474223397507
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1474223398037
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223398043
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1474223398211
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223405304
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1474223408313
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223408319
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1474223408508
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223410187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1474223425464
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1474223426120
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223426129
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1474223426251
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223428483
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1474223429979
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223429986
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223430641
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223464595
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223465428
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223466301
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474223466683
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474223468284
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474223470402
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474223470420
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474223485642
